create_time,bid,campaign_id,custom_track,group_id,job_id,publisher_id,ts
01d09010-9455-11ed-b827-9b5afc8fd73d,1,33,qualified,22,1218,12,2023-01-14 21:47:00
b96ad280-0076-11ed-838c-fec982035f34,,,click,,,,2022-07-10 17:35:00
eca18eb0-089a-11ed-af2a-f02eef0e4612,,,click,,,,2022-07-21 02:15:00
a9bf39f0-0b59-11ed-a450-81b8d2f74d90,1,48,click,34,188,1,2022-07-24 14:05:00
d599f400-0caf-11ed-8388-260a02b4a931,0,151,click,28,1103,1,2022-07-26 06:54:00
17d39e20-0c8d-11ed-8d79-224b8fb9f4f0,1,15,,,336,1,2022-07-26 02:46:00
5d5a9a40-0100-11ed-bdab-6b4f6b724305,,,,,,,2022-07-11 10:00:00
7b3b7610-0b5a-11ed-930b-e73ec6fff008,1,48,click,34,188,1,2022-07-24 14:11:00
f6b9d1a0-0075-11ed-8f0e-e315ad07e1a9,,,click,,,,2022-07-10 17:30:00
f5dc9dd0-04a3-11ed-89ef-f566426e29ce,,,click,,,,2022-07-16 01:09:00
c2444710-0c8d-11ed-ba01-bb95d31af9f4,2,4,click,,98,1,2022-07-26 02:50:00
55043060-0b3a-11ed-a09a-ec9cc1dad2f4,,,,,,,2022-07-24 10:21:00
2abecd30-00ed-11ed-a6fa-ba705e42590f,,,,,,,2022-07-11 07:43:00
422822e0-fe78-11ec-afc5-bad9319a8d32,,,alive,,,,2022-07-08 04:41:00
b6f46ed0-0bfc-11ed-82c6-9ead78760c07,,,,,,,2022-07-25 09:32:00
4a8dfdd0-080d-11ed-9a16-61a5ec4b00cf,,,,,,,2022-07-20 09:21:00
624555a0-0078-11ed-bbf3-b1f547fa5f8e,,,click,,,,2022-07-10 17:47:00
1aaddeb0-0794-11ed-8a54-28cd4db894b1,,,,,,,2022-07-19 18:53:00
2dfa5750-0078-11ed-b0f1-618a057b9e3d,,,click,,,,2022-07-10 17:46:00
52a5a3a0-07dc-11ed-9675-110ca1aa9e67,,,,,,,2022-07-20 03:30:00
63655680-0076-11ed-b605-cf97a0ed611a,,,click,,,,2022-07-10 17:33:00
632ad3a0-0078-11ed-885e-b19e9fc8be19,,,click,,,,2022-07-10 17:47:00
162c8f60-09d0-11ed-b097-c0c97d5e7490,,,,,,,2022-07-22 15:08:00
